game	year	problem_type	problem_from_postmortem	antipattern	sw_antipattern	author
Black & White	2001	planning	Planning the story. We underestimated how long it would take to construct and write the story element of Black & White. The free-form nature of the game required an unfolding tale to give it some structure and lead it to a conclusion, and in October 1999 we began to work on the story. We thought it would take no more than two months, but after a while we realized that we didnt have the skill set needed to take care of this vital aspect of the game. I contacted James Leach, whod been the in-house games scriptwriter at Bullfrog and had worked on Syndicate Wars, Dungeon Keeper, Theme Hospital, and many others. He was working as a freelance ad copywriter but gladly came on board, again in a freelance capacity, and turned our ideas into a fully plotted story line, wrote hundreds of challenges and quests, and wrote all the dialogue in the game. It ended up being more than 60,000 words, the size of a novel.	(execution time for the tasks was underestimated: the game creators initially thought that they could write a good and concise story, but halfway through the process they noticed this was not possible, so they hired a writer)	Project Mismanagement	Brown et al.
Soldier of Fortune	2000	communication	Confusion over project scheduling aside, additional technologies were developed during the course of the project that were never truly planned out appropriately, such as the terrain engine, the in-game effects editor, and the scripting system that we used. All of these technologies served to improve the game substantially, yet they could have worked better if they had been properly discussed between the team members.	(execution time for the tasks was underestimated: tool development)	Project Mismanagement	Brown et al.
SWAT3 Close Quarters Battle	1999	feature-creep	In an effort to pack in as many features as possible, we simply didn’t give ourselves enough time for integration and play testing. For example, most of our character dialogue didn’t roll in until a couple of weeks before we were scheduled to begin QA. Integrating the dialogue took longer than expected, and only at the last minute did we discover that some of it could never even be heard. The AI didn’t really come together until the last month of development. There were some minor problems in the character animation system that caused the AI programmer quite a bit of grief, and the pathing system went through several last minute changes. Having more time to integrate those modules would have made things much easier. Our user’s manual was another casualty of our tight schedule. We were so focused on finishing the game, we simply didn’t give it the priority it deserved. When someone says the manual isn’t important, don’t believe them. People really do read the manual, and it should be play tested just like the game. We won’t make that mistake again.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Renegade Ops	2012	planning	These are areas of the game that we really did not have time to implement to the same level as the games core features. If we had dropped one or two of them at an earlier stage, it would have saved us a tremendous amount of time, and the remaining features would have had a chance to reach a much higher level of quality. (...) The initial plan we committed to gave us a total of 16 months with one month for the alpha, beta, and release phases, respectively. Our intuition warned us that this would not be enough, but we went ahead with the notion that we could shift things around once we got to the main production phase. Once we did -- seven months later -- we were very happy and proud with the quality and level of completion of our vertical slice, but the plan still had very little room to shift things around.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Deadliest Warrior	2010	planning	I cant tell you how many times Ive been producing games and got wrapped up in the gameplay and later realize that I didnt allocate enough resources to sound design. I feel that editorial and sound design is the most neglected part of game production, because we get too focused on features and graphics and making the game look awesome. However, when you put it all together, sound and copy make such an impact on the final experience.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Last Call	2001	planning	In retrospect we made many classic beginner mistakes. We were not realistic about the projects timeframe. We underestimated the duration many small tasks -- culminating in a lengthy delay. We did not press for change orders when appropriate (probably because we were changing the title daily).	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Leaving Lyndow	2017	planning	I told myself I had one night to produce a prototype. If I didnt have a skeleton prototype that could be played start to finish by morning, Id end it right away. By 6 am Id accomplished just that. And rather handily! I knew it could be done. And once Id discussed it with my co-designer girlfriend, we verified the sanity of the idea from a business perspective. Even with all this sanity checking, my scheduling was off by double	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Middle-earth: Shadow of Mordor	2015	planning	During pre-production, we didn’t have good metrics on our production capacity. This led to the specification of the game being over-ambitious, which as we started to get a clearer picture of reality required us to make some pretty big and painful cuts.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Neverwinter Nights	2002	planning	A side effect of the attention Neverwinter Nights received in the years prior to its release was that we built a number of demos for trade shows and press visits, more than typically occur for most major releases. We probably announced the game too early in its development cycle, and it took a long time to complete the game with the promised feature set. Each time we built a demo there was an impact on the team in terms of both focus as well as schedule. We felt the demos were successful overall and that the incremental PR received from these demos was helpful to the games market success, but each of these demos consumed considerable team resources. In spite of this impact, the team recognized that demos are a necessary and vital part of the development process - however, they should be part of the schedule and planned accordingly from the start. In our future projects, we are booking more time for demos in our schedules, since they always seem to take up more time than originally anticipated.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
NFL RUSH Heroes and Rivals	2015	scope	Had we done only one app or the other, we probably could have released a truly polished experience. Instead, we scoped the games poorly, and for that they both suffered.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Prune	2015	scope	The game was originally supposed to be a short two to three month project to get my feet wet as a solo indie game designer. (...) Unfortunately, three months quickly turned into six months, and finally into a year and three months. (...) I had completely unrealistic expectations.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Race the Sun	2015	scope	We’ve also come to grips with the fact that we consistently under-estimate how long things will take by at least a factor of 2x.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Rainbow Six	2000	team	This point is closely related to the previous point. Because we didn’t have a firm design, it was impossible to do accurate time estimates. Red Storm was starved for manpower across the board, and because we didn’t have a proper schedule, it was hard to come to grips with just how deep a hole we were digging for ourselves. There were always plenty of other things to do in getting a new company off the ground besides recruiting, and we were trying to run as lean as possible to make the most of our limited start-up capital. Given the circumstances, it was easy to rationalize understaffing the project and delaying new hires. (...) Losing even a junior member of a development team close to gold master can be devastating. When our lead engineer took ill in February 1998, we were faced with a serious crisis. For a few frantic weeks, we tried to recruit a lead from outside the company, but eventually it became obvious that there was no way we could bring someone in and get them up to speed in time for us to make our ship date in July 1998. Promoting from inside the team wasn’t a possibility either — everyone’s schedule was so tightly packed that they were already pulling overtime just to get their coding tasks done; no one had the bandwidth to handle lead responsibilities too.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Ratchet & Clank	2016	planning	Here’s another one for the depressingly thick “mistakes we make every single time” file. We’re really bad at scheduling cinematics.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Scooby-Doo! First Frights	2010	planning	These holes werent unnoticed by the team. We didnt suddenly reach the end of development and go "Oh, hang on, that doesnt make sense!" We were quite aware, but with limited time and resources, could only fill in the gaps so much. Wed cater for story continuity through the use of voice-over moments (VOMs), however some instances did fall by the wayside. Again, it all came back to our lack of understanding in the execution of the story in-game, underestimating the workload, and pressures of resources and time.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Tomb Raider: Underworld	2009	planning	Much of this pressure came from the collision between ambition and capacity, made worse by the cognitive dissonance between seeing a game on paper that you want to have, and knowing that the production data indicates you cant have it by the prescribed date, but being unwilling to change either one. At the time, and indeed throughout the project, we knew it was risky to move on to the next phase of production before the previous one had completely finished, yet we did so anyway. This is one of those repeated mistakes, so why did we do it? Cognitive dissonance is part of the answer. Wishful thinking is another part. But mostly, in an imperfect world, every risk you take is a gamble that may fail, and at the end of the endeavor, you end up needing to explain only the risks you took that didnt pan out, like this one. (...) Unexpected complexities in next-generation development, along with communication throughout a team larger than the studio had ever seen, consumed our polish time and more. This makes the mistake of underestimating our polish time more understandable, even though this is also one of those repeated "what went wrong" scenarios, because we were dealing with a whole new class of unknowns. This wont be the case going forward, however, so the team should be equipped next time to avoid the usual mistake of not scheduling enough polish time.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Trade Empires	2001	feature-creep	Pathfinding was the number one mistake in our scheduling. Over and over we failed to realize how much time the game would spend pathfinding, and how much time we would spend writing the code. We didnt realize that many things which we thought of as separate challenges were really all pathfinding and should be designed in a comprehensive way: creating a path for units who already know their destination, having the unit sprites follow the path and stay centered on their pathway art, constructing the pathways, drawing pathways.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Tycoon 2: Marine Mania	2007	scope	We had actually done a lot of design work on Marine while Zoo Tycoon 2: Endangered Species was still in development. In fact we delivered our first Marine milestone, which was all of our documentation (functional spec, tech spec, schedule, etc…) to Microsoft within four weeks of delivering Endangered Species to manufacturing. Needless to say there’s a lot of work in creating these documents and a few things were overlooked. For instance, although our initial schedule accounted for the fact that we needed to create animations for the guests sitting in the grandstands to react to marine shows, we overlooked the fact that the young guests needed their own specific animations for these actions as they would be unable to share those adult size animations. Oops! The technical spec and the schedule were probably the most impacted by this and fortunately we were able to revise our plans and absorb the things that fell through the cracks relatively painlessly (notice I did not say “pain-free”). We also underestimated some of the difficulty in transitioning to 3D movement through water. We knew it would be hard of course but it proved to be even more challenging than we expected. A lot of time was spent in this area to smooth out the pops, deal with obstacle avoidance, transition between land and water, etc. We expected it, we just didn’t expect quite as much of it.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Vampire The Masquerade	2000	scope	In retrospect, we were in some ways our own worst enemy. Many of the team members had wanted for some time to do a really huge, ambitious role-playing game. When we actually started the project and had a budget and schedule, we probably werent realistic about how long RPGs typically take to develop, especially one that travels to four different cities across an 800-year timeframe. We were very reluctant to make big cuts in the design, such as cutting one of the two time periods or removing the multiplayer aspect. Because of this, we eventually had to make the decision to miss our first scheduled release date of March 2000. We also cut back on our plans to release an interactive demo some months before the game and scaled back the scope of the multiplayer beta.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
No One Lives Forever	2001	feature-creep	Implementing in-game cutscenes in NOLF proved to be a frustrating, time-consuming ordeal, especially considering how many of them there were. As a result, I generally had to go with the easiest solution rather than the most desirable one. Due to time constraints, I also had to sacrifice many of the cutaways Id hoped to do to keep the briefings interesting. To make matters worse, wed done the motion capture based on the original script, so with the cutaways excised, I had a very limited pool of applicable animations to draw from.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
RoboBlitz	2006	scope	Even though we had great people on our development team, there were only a few who had gone through the full development cycle for a retail title before, and this had far reaching repercussions. On the most basic level, we were not able to accurately estimate the impact of untested technology on the time it would take for us to implement the game. Therefore, because we had tons of great ideas, we chose a scope for the game that included more features than any sane, experienced studio would dare accept given the budget and timeline. Because we underestimated the time and budget required for a game of this scale, we were understaffed right from the start. This required us all to wear several hats, sometimes leading to negative consequences. For instance, our lead programmer was also our system admin. Whenever there was an issue with the network or the bug tracker or the version control software, he had to stop programming to take care of it. Our overambitious design and understaffing sent the entire team into crunch mode for the majority of production. We had no choice but to work long hours to make deadlines, and this took a toll on our constitutions and quality of life. Luckily, every one on board was young and hearty, and in love with the project, so there were no permanent effects, but we will definitely do things differently from now on. (...)  When we started development on RoboBlitz, we jumped into the level creation process with very little pre-production. We knew the basic functionality of our robot and we knew we wanted action and puzzle oriented game play. In general, this put us in a mode of running along with whatever good ideas we had at the moment and keeping whatever worked best. This allowed for very fast, dynamic changes in the game design, which would have been fine if we were in pre-production. However, when we were adding new weapons and controls six months into an eleven-month project, it did not work out too well. The biggest problem with our lack of pre-production was that we didn’t nail down key game play mechanics and character movements before implementing the levels. Once the majority of the game was built, it became extremely burdensome whenever we had to add new features or tweak character movements. This meant we had to go back through the entire game and alter levels so that the new features didn’t break any of the existing ones. With a product that allows as much freedom of movement and game play as RoboBlitz, this was not a small task. We were left changing significant play mechanics, controls, camera angles and level features only weeks before the content complete milestone. These new changes then required retranslation of localized text, sound effects tweaks, and art adjustments, which in turn generated their own regression issues. As a result, a few areas and aspects of the game were much less thoroughly tested than we would have liked.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Armadillo Run	2006	planning	One of the first things I did was draw up a work schedule covering what I thought was the whole development. This was good - it helped organise the work and gave me short and long term targets. I was quite optimistic in my time estimates of most tasks, and for the most part achieved my self-imposed targets. However, I didnt allow enough time for the things I viewed as less important - which turned out to take significantly longer than I expected. I think this was because Im a programmer, and I thought that programming a working game engine was pretty much all you needed to do to make a game. Sound, interface design, level design, testing, gameplay tuning, menu code and the general finishing touches all got massively underestimated. Thankfully my slow but steady coding style didnt create a mountain of bugs on top of these delays. The other thing that I completely ignored was publishing the game. I did give it some thought early on, but I didnt allocate any time for it. I had assumed I would just give it to someone else to take care of that bit. In the end I decided to sell it myself through my own web site, but setting it up took some time I hadnt planned for.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Black & White	2001	delays	Talking about release dates. I have to admit, ruefully, that I have a reputation for being, shall we say, optimistic about when the projects Im working on will be completed. I opened my big mouth and announced that Lionhead Studios would finish Black & White and get it released at the end of last year. I just cant resist talking about whatever Im currently working on. This has been a problem Ive experienced with every game Ive ever developed. But the thing is, when I think something is going to be finished in December, I really do believe it. People at Lionhead were telling me that we had to build in time for bug-fixing, and I knew this was true, but the truth is that there seems to be no formula for working out how long things will take. The best thing to do, I guess, is to take the finishing date I first think of and move it twice as far away—and then not announce it until were halfway there.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Conduit 2	2011	crunch-time	Early on in development, theConduit 2 development team implemented new features to the point where they could be demonstrated, but were not complete. When much of the project is composed of partially-implemented systems, it makes the game codes structure unstable and hard to work with. Whats worse is that after the layoff, we were left with unfinished systems combined with team members that didnt fully understand how to work with them. This added months to the development cycle as each fixed bug can potentially spawn or expose multiple new problems. Conduit 2 is a huge game, much larger than anything our company has ever developed before. The time needed to complete a project of this scope was definitely underestimated.	(execution time for the tasks was underestimated)	Project Mismanagement	Brown et al.
Dynasty Feud	2018	scope	Actually the initial plan of the development included an AI to battle against and we even started working on it. Until we realized that with 40 different characters, each one of them with different abilities and strategies, the tweaking was going to take forever, so we decided to discard it. 	(features were cut due to budget/time constraints)	none	none
Star Trek: Hidden Evil	1999	cutting-features	After removing many scenes from the game, we needed to repair the holes left in the story. Our solution for many of these cuts was to create a prescripted cut scene. Some of them showed basic actions or events but most fell into the category of data dump. These are scenes that obviously exist for no purpose other than to convey information to the player. The result in Star Trek was one or two minute dialogues with characters standing around talking, sometimes over communicators which really doesnt create an energetic scene. Our use of dialogue to convey information breaks one of the fundamental rules of visual entertainment, convey information with images. Instead of watching someone tell you about a level, why not listen to the voice over while watching a fly-by of the level on your tricorder.	(features were cut due to budget/time constraints)	none	none
Cultist Simulator	2019	cutting-features	The release build of Cultist doesn’t contain all the fun stuff we’d have ideally wanted, if we were operating in that magical wonderland of infinite money and time.	(features were cut due to budget/time constraints)	none	none
Das Geisterschiff	2019	cutting-features	The project had to be refocused too many times to fit into the design and resource limits, and because of that the story had to be simplified until it became just a background and glue for the gameplay and levels, which, on the bright side, forced us to make them work better on their own	(features were cut due to budget/time constraints)	none	none
Slow Down, Bull	2015	cutting-features	When we had a final understanding of our timeline and I decided to cut leaderboards up front so that we could actually finish the game on time, there was some response of confusion since, after all, I’d gotten leaderboards up and running within a couple of weeks for the prototype.	(features were cut due to budget/time constraints)	none	none
The Banner Saga 2	2016	cutting-features	After the initial development period, we had more and more difficulty in identifying parts of the game we could cut. It seemed like we had cut it as far as we could, and everything else just had to make it in by pure force.	(features were cut due to budget/time constraints)	none	none
The Political Machine	2004	cutting-features	We had several other features in mind that we had to cut because of lack of time, time we would have had if we hadnt done multiplayer. For instance, we couldnt include multiple maps, and Id love to have had the ability to play in Canada, or the UK, or the whole of Europe, or even a worldwide map. Thats not even counting made-up maps we could have created. I think the inclusion of different maps to play on would have increased the replayability of the game a great deal. I would have also liked to have given different candidates "special" powers, to make each one more unique apart from statistical differences. But the time in development and testing on multiplayer eliminated those kinds of things. When gamers demand multiplayer, what they dont realize is that something has to be sacrificed for it. You have a finite budget and a finite time to use it, and so, to quote Spock: "The needs of the many outweigh the needs of the few." With that in mind, I wish we hadnt done multiplayer in The Political Machine.	(features were cut due to budget/time constraints)	none	none
Top Gun	2009	cutting-features	Originally, our story spanned 16 levels, and when we had to condense the game to 10 (due to time constraints) instead of condensing the story, we decided to leave it open for a possible sequel. (...) Speaking of no payoff, the other sin we committed was having a quick ending sequence. After the final mission, the game simply cuts to a "To be continued" screen, then kicks back to title. This one still kills me, because I hate when games do this to me (I remember playing through over a hundred levels in Rampage for the NES as a kid only to get the word "Congratulations". Total BS!) We just did not have enough time to complete that portion. I had a whole credits sequence visualized too, set to Cheap Tricks "Mighty Wings". If only we had a little more time (not to mention the rights to the song).	(features were cut due to budget/time constraints)	none	none
Total Pro Golf 2	2007	cutting-features	We also had to leave a feature or two on the cutting room floor as well. They weren’t features we had announced, but we’d still hoped to get them into the game. Hopefully there will be enough interest in the title to continue its development, because the game world still has rich opportunities for expansion.	(features were cut due to budget/time constraints)	none	none
Uncharted: Golden Abyss	2012	cutting-features	Much has been made of the fact that there are no supernatural enemies at the end of Uncharted: Golden Abyss. Originally, there were going to be. In an early draft of the story, Drake reached the underground city of gold and discovered that all of Guerros men had been killed -- victims of what the local superstitions called "Chindi". (...) Reading an early draft of the story, Amy had expressed some misgivings that the Chindi were pretty similar to the Descendants. Later, when I asked if the Uncharted formula required a supernatural ending, she said absolutely not. So the Chindi were cut. Some players missed them and said we werent Uncharted without the supernatural ending; others thought its absence made the game better. We werent making a judgment call either way -- we were merely trying to trim the schedule. (...) We loved the idea of showing how Drake might have screwed Flynn over early in their careers, perhaps explaining Flynns behavior in Uncharted 2: Among Thieves. But we realized that cutting this plot element would allow us to cut an entire worlds worth of characters, mocap, sets, movies, and gameplay. At the time, I hated to see Flynn go, but as it turned out, we didnt cut nearly enough. (...) Drake and Sully were to traverse dangerous cliffs, narrow trails and more rickety bridges as they fought their way up to a Machu Picchu-type city where they would have discovered the entrance to the lost city of gold. (...) This world didnt get cut until just before final production began, so we had concept art, maquettes, layouts, as well as playable gray box levels. But as production began we were still worried about being able to pull off the Naughty Dog-style open spaces, cliffs, and vistas. (...) At the time we were sorry to see the Highlands go because we worried the player wasnt going to get enough Sully time, but that turned out to be a non-issue, mostly because the rainforest world almost doubled in size during production (which was, no pun intended, a much bigger issue). (...) The last major cut came after the script was locked and full production had begun -- but the cut was not the result of our having realized our game had scope issues. It was cut because of a tsunami. Originally the shanty avalanche world took place between Chapter 9 (the last shantytown level) and Chapter 10 (the "side scrolling" level where weaponless Drake and Chase run for their lives). In the avalanche levels Drake and Chase would have been trapped in the middle of a massive avalanche that was sweeping the shantytown down the mountainside (the bridge was originally a dam). (...) Then in March of 2011, a disastrous earthquake and tsunami hit Japan and we, along with the rest of the world, spent several days watching images and videos of the awful destruction as entire towns were swept away by torrents of muddy water. In the aftermath of this, we worried that maybe the avalanche world would feel a little on the exploitive side, and that at some point we might be asked to remove it.	(features were cut due to budget/time constraints)	none	none
Uncharted: Golden Abyss	2012	scope	I mentioned earlier that once we got there, the locked script helped immensely by keeping production moving, and by keeping large changes to a minimum. But the locked script also hurt in an important way: once we discovered that the game was too big, we couldnt cut much more than we already had without leaving the story and pacing in shambles. Important character and plot developments happened in each world, and more importantly, key gameplay sequences. Even through the story we set out to tell in the beginning was too big, trimming it halfway through development would have weakened it, making game-play scenarios feel isolated and meaningless. (...) Bend Studio has always developed third-person action games, whether the emphasis was on Syphon Filter-style stealth action or Resistance: Retribution-style sci-fi action, but we completely underestimated the amount of additional content required by an Uncharted game. As we finished prototyping and began actual production, we realized this, and started making big cuts in the design and story. Heres some examples of things we cut before production began. (...) Uncharted: Golden Abyss had 34 next-gen quality levels, each of which had five times the content of any PSP game we had ever made. What were we thinking? We were trying to make something akin to a nextgen quality console game with a core team that was a third the size of a Naughty Dog or Santa Monica Studio. It was insanity. (...) In the end, we needed to cut even more, but thats where the reality of the locked script really hurt us. The only way to have fixed the scope issue, in hindsight, would have been to tell a more modest story to begin with. Maybe there should have only been one antagonist instead of two; maybe the whole Perez backstory was too expensive and unnecessary; maybe we didnt really need such a long trek through the rainforest (thankfully we didnt cut that -- yay Sully!) And maybe a handheld game didnt need two hours of cinematics (twice that of Resistance: Retribution.) Given the chance to do it again, we would have spent much more time up front vetting every aspect of the experience, negotiating a target game length. It was an expensive lesson, given the amount of overtime we had to work to finish the game. (...) Our crunch in Uncharted: Golden Abyss was almost completely attributable to one thing: ambition. As noted above, we didnt do a very good job of managing the scope of the game, which for some players ended up being a 10 to 12 hour experience -- compare this to God of War: Chains of Olympus, one of the highest rated games for the PSP, which clocked in at six or seven hours. (...) But even with all those cuts,Uncharted: Golden Abyss was still a huge game. Partly this was because some levels had to be divided in half in order to work with our streaming engine. In any other franchise this might not have been a big deal: divide a large level and you end up with two smaller levels, right? But with Uncharted, thats not how it worked out. Because our streaming required a cinematic to mask asset loading, each level required a transition cinematic -- at one point we had trimmed over 20 minutes from the script, but by the time we reached gold master, we had added all those minutes back in, and then some. And it turned out that the amount of polish wasnt cut in half, but doubled; it was hard to tell artists, "look, this level gets only half your time and attention because its not really a full level." Development just doesnt work that way. Misunderstanding the correlation between level size and asset needs was a mistake we made from the start. Because we were worried about memory and streaming, we had made the decision early on to create more, smaller levels, thinking they would be easier to build, load and polish. But Uncharted is a dense experience in terms of assets per square foot of environment. Even small levels tended to get filled up with AI nodes, VO triggers, traversal edges, unique action moments, special animations, collectible hiding spots... all of which needed art, animation, audio, scripting and sometimes code support. And as the layouts got fleshed out, each experience grew in the telling until we were looking at a massive amount of assets that needed to be polished.	(features were cut due to budget/time constraints)	none	none
Warhammer: End Times – Vermintide	2016	planning	The lack of Betas was mainly due to bad scheduling on our part and a maybe too tight release schedule for the consoles.	(features were cut due to budget/time constraints)	none	none
Wik & The Fable Of Souls	2005	cutting-features	Our early game plan called for four boss characters which Wik would encounter and battle through the game. The Hornet Queen would appear towards the end of the forest level set, the Spider Boss would flash her fangs towards the end of the caves, a giant Scorpion would appear towards the end of the creepy vines level set, and the end of game ultimate uber-boss was the Lord Of The Grubs, a fearsome creature guarding the gates of the land where the wicked little grubs had originated. The Hornet Queen and the Spider Boss were both modeled, had basic texturing and were fully animated before the difficult decision was made to cut them and the other two boss creatures from the game. We simply did not have enough time in the development schedule to implement and balance them after taking time to re-design the core play mechanic.	(features were cut due to budget/time constraints)	none	none
The Gallery: Call of the Starseed	2017	cutting-features	When we launched Call of the Starseed alongside the HTC Vive in April 2015, we weren’t sure what the response would be. We worked countless long nights to meet that release date, and had to scope down many ideas that we just couldn’t make work in time.	(features were cut due to budget/time constraints)	none	none
Star Trek: Hidden Evil	1999	feature-creep	The initial game design was a mammoth undertaking especially when you consider the one year timeline. As we watched ourselves fall behind early with milestones, we knew that unless we changed the project significantly we would completely miss our gold master date and Christmas with it. It was decided that cuts had to be made.	(features were cut due to budget/time constraints)	none	none
Baldurs Gate II	2001	cutting-features	In a project as content rich as Baldurs Gate II, we didnt really have to worry about cutting content. While we shipped with nearly all the features we originally planned, we did start cutting quests and characters well before the final testing phase. We still ended up with over 200 hundred hours of gameplay. In retrospect we should have started this process many months earlier. One of the dangers of development is that game developers have a tendency to always add content if they are given time. They dont naturally spend time limiting and polishing content; instead, more time means more stuff. Its wise to use that prioritized feature list to hone the work (of course ours was informal, which made it a little difficult)	(features were cut due to budget/time constraints)	none	none
Chili Con Carnage	2006	cutting-features	In order to reduce scope, save resources and manage to bring the game to market in a year we may have cut too many corners relying too much on the fact that the “distilled” game experience would be enough to satisfy the player.	(features were cut due to budget/time constraints)	none	none
Myth: The Fallen Lords	1997	cutting-features	The biggest announced feature that didnt make it into the final version of Myth was a scripting language that would allow the player to modify elements of the game. We had hoped that user scripts could be written for extensible artificial intelligence, as well as custom formations, net game rules, and map behaviors. We selected Java as a good basis for the Myth scripting language because of its gaining popularity, good information-hiding capabilities, and relatively simple byte code interpretation. After several months of work, early versions of the game loaded, compiled, and ran code from tag files. A few simple scripts worked for presentation purposes, including one that instructed a unit to search the battlefield for the heads of the enemy and collect them in a pile. Unfortunately, when the programmer responsible for the scripting language parted ways with Bungie, we were left with a number of features to implement and no library of user-friendly interfaces with the game code. Given its incomplete state at such a late stage of development, there was little choice but to drop this functionality. (...) With a few exceptions, everything from our list of "Stuff that Rocks" made it into the final product. Those features that didnt make it came so close and were so exciting that they definitely deserve mention. Near the end of the project, we started adding support for 3D fire, which would be ignited by explosions and flaming arrows. Our flames were sprite-based 3D particle effects, complete with translucent smoke. Fire could spread across the landscape and move at different rates over the various types of terrain. To our dismay, when a spark in the woods spread into a raging forest fire (as it should), all the translucent smoke sprites slowed even fast, 3Dfx-accelerated machines to a crawl. With little time to rectify the problem, we had to put out the fire, so to speak. We had also planned for wildlife to scamper across the terrain and for birds to fly through the air, breathing life into our empty landscapes. Our attempt at ambient life started with a giant squirrel created by one of our artists. Unfortunately, due to time constraints, we didnt have a chance to create very interesting behaviors for it. Just about the only AI that we had a chance to code simply made the squirrels gravitate towards the players units. We thought it best to drop ambient life rather than subject players to hordes of nuzzling squirrels.	(features were cut due to budget/time constraints)	none	none
Sanitarium	1998	cutting-features	The action sequences needed more attention. They were important for guiding the pace of the story, but didnt have the feel that we were after in the end product. The original idea behind these areas was based on one of DreamForges earlier titles, Veil Of Darkness. It had wonderful combat areas that helped break up the pacing between the puzzles. However, in Sanitarium, multiple factors forced us to water down the combat zones or in some cases cut them altogether. We had originally planned a large combat zone for the Hive level of the game. Wed hoped to make Grimwall vs. the Hive one of the most fun and integral combat areas, but it was cut from the game for various reasons.	(features were cut due to budget/time constraints)	none	none
SpecOps: Rangers Lead the Way	1999	cutting-features	The spec for this game was more than a little overboard. It originally targeted the PlayStation, Macintosh, and PC. It had networking, supported 3D hardware, used motion capture, and contained support for just about everything else you could want in a game. It was also on a 15-month development cycle. To top it off, Zombie was writing the entire engine from scratch. On the up side, there was a healthy budget. We dropped the Macintosh version right away, and we terminated the PlayStation version at alpha (when it was still running at five to eight FPS). Networking support was postponed for an expansion pack a year into development. While setting our sights so high was clearly the reason we got so far, dropping this many versions and features along the way was worse than anyone expected. I blame publishers as much as developers in this kind of situation. Publishers go through more product cycles than developers do, and should have some past experience telling them what is realistic to achieve. We learned the hard way what’s possible to accomplish in 15 months; as a result, we completed the game in 20. (...) As mentioned earlier, at one point we mitigated being over schedule by dropping networking capabilities from the release. I don’t think anyone actually believed that this was a good idea, but it somehow it happened anyway. The fact is that as much as 3D acceleration is the future, so is networking. Luckily, the gaming community has been taking it soft on us, and we’re working hard to get out an expansion pack that has a variety of network play options. That pretty much concludes the walkthough of the major components of the Viper engine and the problems we had while creating the title. While I could only really touch on the major issues we faced and the solutions we devised, hopefully it’s enough to make the efforts of other developers a little easier. If there’s a component of the Viper engine that you would like to see explained in further detail, please let me know. I encourage other developers to describe their projects in similar detail, so that we can learn from each other’s mistakes as well as successes	(features were cut due to budget/time constraints)	none	none
Star Wars DroidWorks	1998	feature-creep	The number of combinations possible in DroidWorks gives it its power. How many droids can you build from 87 droid parts anyway? At one point during development, we could build over 65 million fully functioning droids, but design decisions forced us to cut it back to only 25 million by the time we shipped. How do you deal with that kind of complexity? (...) Our level designers also saw the nightmare of complexity. They could never be entirely sure what kind of droid would be walking into their rooms, and they had to leave the levels as open as possible. In many cases, they created ingenious physical filtering mechanisms that would guarantee certain types of droids beyond certain points in the level: a steep hill would weed out biped droids in favor of droids with tractor treads, a chasm would weed out wheeled droids who cant jump, a narrow canyon would weed out wide droids, and a short door would weed out tall droids. They used the terrain leading up to key puzzles to reduce the complexity of the puzzle itself, giving kids a chance to uncover the mission requirements themselves within the context of the game	(features were cut due to budget/time constraints)	none	none
Dead State	2014	feature-creep	There are over 45 allies in the game, with 6 to 30 branching dialogues for each ally. The amount of dialogue added up quickly and took a lot of time to write, script, and revise, especially when it was done by two designers that also had to oversee other systems. The biggest problem stemmed from our allies being around the shelter for a period of up to 85+ days of game time. There was definitely a player (and reviewer) expectation that the allies should have had dialogue refreshed nearly every day, or that they should have as much to say as companions in other RPGs. However, most RPGs spread their companion dialogue and reactivity over 8-10 companions or non-playable characters, and update it in stages according to a set of linear plot points (another thing that Dead State, by and large, happened to avoid). By the end, Dead State was already pushing the 15,000 line count with our massive cast, and that’s not even counting combat/reactive barks. While I think we did a great job making the allies diverse and as interesting as we could for their screen time, I can honestly say I would never recommend anyone attempt to have 45+ companions in your game unless it’s going to be a very short game.	(features were cut due to budget/time constraints)	none	none
